match_date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,goal_diff,total_goals,home_result,is_competitive,home_points,away_points,match_id,source,source_match_id,source_competition_id,source_competition_name,source_generated_at_utc
1996-02-07,Morocco,Luxembourg,2,0,Friendly,Rabat,Morocco,False,2.0,2.0,home,False,3.0,0.0,1996-02-07::Morocco::Luxembourg,historical_csv,,,,
1996-02-07,Spain,Norway,1,0,Friendly,Las Palmas,Spain,False,1.0,1.0,home,False,3.0,0.0,1996-02-07::Spain::Norway,historical_csv,,,,
1996-02-09,Iceland,Russia,0,3,Malta International Tournament,Attard,Malta,True,-3.0,3.0,away,True,0.0,3.0,1996-02-09::Iceland::Russia,historical_csv,,,,
1996-02-09,Malta,Slovenia,0,0,Malta International Tournament,Attard,Malta,False,0.0,0.0,draw,True,1.0,1.0,1996-02-09::Malta::Slovenia,historical_csv,,,,
1996-02-09,Thailand,Finland,1,0,King's Cup,Bangkok,Thailand,False,1.0,1.0,home,True,3.0,0.0,1996-02-09::Thailand::Finland,historical_csv,,,,
1996-02-10,Australia,Japan,1,4,Friendly,Wollongong,Australia,False,-3.0,5.0,away,False,0.0,3.0,1996-02-10::Australia::Japan,historical_csv,,,,
1996-02-11,Lebanon,Ecuador,1,0,Friendly,Bourj Hammoud,Lebanon,False,1.0,1.0,home,False,3.0,0.0,1996-02-11::Lebanon::Ecuador,historical_csv,,,,
1996-02-11,Malta,Iceland,1,4,Malta International Tournament,Attard,Malta,False,-3.0,5.0,away,True,0.0,3.0,1996-02-11::Malta::Iceland,historical_csv,,,,
1996-02-11,Peru,Bolivia,1,3,Friendly,Lima,Peru,False,-2.0,4.0,away,False,0.0,3.0,1996-02-11::Peru::Bolivia,historical_csv,,,,
1996-02-11,Russia,Slovenia,3,1,Malta International Tournament,Attard,Malta,True,2.0,4.0,home,True,3.0,0.0,1996-02-11::Russia::Slovenia,historical_csv,,,,
